Lead_ID,Full_Name,Email,Industry,Engagement_Score,Deal_Size (€),Last_Activity (days ago),Lifecycle_Stage,Region,Lead_Source
L0001,Julien Petit,user1@example.com,Healthcare,79,9308,18,MQL,Auvergne-Rhône-Alpes,Referral
L0002,Emma Martin,user2@example.com,Education,95,6949,43,SQL,Occitanie,Paid Ad
L0003,Julien Martin,user3@example.com,Finance,20,20222,53,SQL,Provence-Alpes-Côte d'Azur,Webinar
L0004,Luc Petit,user4@example.com,Education,25,2150,38,Customer,Île-de-France,Referral
L0005,Paul Moreau,user5@example.com,Education,82,24944,26,Lost,Île-de-France,Paid Ad
L0006,Julien Roux,user6@example.com,Retail,68,2931,9,SQL,Provence-Alpes-Côte d'Azur,Webinar
L0007,Sophie Roux,user7@example.com,Finance,79,10204,25,Lost,Provence-Alpes-Côte d'Azur,Webinar
L0008,Marie Martin,user8@example.com,Finance,89,19048,18,SQL,Auvergne-Rhône-Alpes,Referral
L0009,Lea Durand,user9@example.com,Finance,12,2081,38,SQL,Île-de-France,Organic
L0010,Emma Lemoine,user10@example.com,Education,29,17896,2,SQL,Occitanie,Webinar
L0011,Hugo Bernard,user11@example.com,Healthcare,68,14407,44,New,Hauts-de-France,Webinar
L0012,Lea Moreau,user12@example.com,Finance,45,8805,12,SQL,Hauts-de-France,Paid Ad
L0013,Sophie Petit,user13@example.com,Education,28,6237,49,SQL,Provence-Alpes-Côte d'Azur,Event
L0014,Paul Bernard,user14@example.com,Retail,99,17943,27,MQL,Auvergne-Rhône-Alpes,Referral
L0015,Hugo Martin,user15@example.com,Healthcare,76,21056,57,Lost,Hauts-de-France,Referral
L0016,Emma Bernard,user16@example.com,Retail,28,13775,19,MQL,Île-de-France,Organic
L0017,Lea Lemoine,user17@example.com,Healthcare,29,24788,27,SQL,Provence-Alpes-Côte d'Azur,Organic
L0018,Julien Lemoine,user18@example.com,Education,80,17244,7,SQL,Occitanie,Referral
L0019,Marie Petit,user19@example.com,Tech,61,14184,40,SQL,Provence-Alpes-Côte d'Azur,Organic
L0020,Marie Petit,user20@example.com,Healthcare,42,4343,38,MQL,Occitanie,Paid Ad
L0021,Sophie Moreau,user21@example.com,Retail,49,14500,0,Customer,Provence-Alpes-Côte d'Azur,Referral
L0022,Marie Durand,user22@example.com,Education,48,21454,2,SQL,Provence-Alpes-Côte d'Azur,Organic
